100,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,100,100,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,
100,75,100,100,100,24,0,0,0,0,0,0,0,0,0,0,,,,
0,0,100,100,100,100,100,24,0,0,0,0,0,0,0,0,,,,
100,26,0,100,100,100,100,100,100,24,0,0,0,0,0,0,,,,
0,100,0,75,100,100,100,100,100,100,100,24,0,0,0,0,,,,
100,75,0,0,100,100,100,100,100,100,100,100,100,25,0,0,,,,
0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,24,,,,
100,26,100,0,0,75,100,100,100,100,100,100,100,100,100,100,,,,
,,,çïåüèoó¶(%),,,,,,,,,,,,,,,,PSNR
,,,ÇPñá,ÇQñá,ÇRñá,ÇSñá,ÇTñá,ÇUñá,ÇVñá,ÇWñá,ÇXñá,ÇPÇOñá,ÇPÇPñá,ÇPÇQñá,ÇPÇRñá,ÇPÇSñá,ÇPÇTñá,ÇPÇUñá,ïΩãœ
,,Q=1,100,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.42552591
,,Q=2,0,100,100,26,0,0,0,0,0,0,0,0,0,0,0,0,43.50384316
,,Q=3,100,75,100,100,100,24,0,0,0,0,0,0,0,0,0,0,40.3534832
,,Q=4,0,0,100,100,100,100,100,24,0,0,0,0,0,0,0,0,38.19282817
,,Q=5,100,26,0,100,100,100,100,100,100,24,0,0,0,0,0,0,36.07876747
,,Q=6,0,100,0,75,100,100,100,100,100,100,100,24,0,0,0,0,34.46736487
,,Q=7,100,75,0,0,100,100,100,100,100,100,100,100,100,25,0,0,33.42363161
,,Q=8,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,24,32.43328093
,,Q=9,100,26,100,0,0,75,100,100,100,100,100,100,100,100,100,100,31.49485073
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,çïåüèoó¶(%),,,,,,,,,,,,,,,,PSNR
,,,ÇPñá,ÇQñá,ÇRñá,ÇSñá,ÇTñá,ÇUñá,ÇVñá,ÇWñá,ÇXñá,ÇPÇOñá,ÇPÇPñá,ÇPÇQñá,ÇPÇRñá,ÇPÇSñá,ÇPÇTñá,ÇPÇUñá,ïΩãœ
,,Q=1,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,,Q=2,100,98,97,5,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=3,100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=4,100,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=5,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=6,100,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=7,100,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=8,100,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=9,100,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,çïåüèoó¶(%),,,,,,,,,,,,,,,,PSNR
,,,ÇPñá,ÇQñá,ÇRñá,ÇSñá,ÇTñá,ÇUñá,ÇVñá,ÇWñá,ÇXñá,ÇPÇOñá,ÇPÇPñá,ÇPÇQñá,ÇPÇRñá,ÇPÇSñá,ÇPÇTñá,ÇPÇUñá,ïΩãœ
,,Q=1,100,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=2,0,100,100,53,0,0,0,0,0,0,0,0,0,0,0,0,
,,Q=3,100,43,100,100,100,45,0,0,0,0,0,0,0,0,0,0,
,,Q=4,0,0,100,100,100,100,100,45,0,0,0,0,0,0,0,0,
,,Q=5,100,34,0,100,100,100,100,100,100,44,0,0,0,0,0,0,
,,Q=6,0,100,0,60,100,100,100,100,100,100,100,49,0,0,0,0,
,,Q=7,100,41,0,0,100,100,100,100,100,100,100,100,100,51,0,0,
,,Q=8,0,0,100,0,0,100,100,100,100,100,100,100,100,100,100,58,
,,Q=9,100,36,100,0,0,51,100,100,100,100,100,100,100,100,100,100,
